index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
96	0x4c9a28	0xcda5	a5cd00	2	16	16	2	32	be6c82aef443b092343e2a1f96604e9608cd163c27116c7aeeafbabe6b10a3d0	masks/glyph-000096-16x16-key-CDA5.bin
97	0x4c9a28	0x52a9	a95200	2	16	16	2	32	2c59f58940e9b98e024751d36687ec943178feab01a5d2f49b9a92d10a831772	masks/glyph-000097-16x16-key-52A9.bin
98	0x4c9a28	0x49c2	c24900	2	16	16	2	32	e0f66f4bffafc4e00a428e133d8dcede0accae7fdc4a0237ad2a23223d13dccc	masks/glyph-000098-16x16-key-49C2.bin
99	0x4ab998	0xc4c3	c3c400	2	20	20	3	60	dd97aa7c1b76fbaab1155e902e4a909c69fc0a4226adc894933699235d39f68a	masks/glyph-000099-20x20-key-C4C3.bin
100	0x4ab998	0xf3af	aff300	2	20	20	3	60	658f64859df8106b5576513717b7f333625153d5c256b9dd087ce42ad305c2fc	masks/glyph-000100-20x20-key-F3AF.bin
101	0x4ab998	0xb2b5	b5b200	2	20	20	3	60	77c4bfb9d1b17be15a331d536a3c572b658669ba3ebdf67a278f4bff402a6478	masks/glyph-000101-20x20-key-B2B5.bin
102	0x4ab998	0xecf5	f5ec00	2	20	20	3	60	566920aa8eb398cef0fcd39a6944d352fc9f1a422cf4c22716f27cadf35f5e23	masks/glyph-000102-20x20-key-ECF5.bin
103	0x4ab998	0xb2b8	b8b200	2	20	20	3	60	4e03cb92c951655394cf6b7e7cd5a14157f0e17826e602d073547cbc69c2b0ad	masks/glyph-000103-20x20-key-B2B8.bin
104	0x4ab998	0xe5b5	b5e500	2	20	20	3	60	f2a68568ca496a8c39ec5a25563171f724be638386ce60d2d799f84c767973f7	masks/glyph-000104-20x20-key-E5B5.bin
105	0x4ab998	0x4cb5	b54c00	2	20	20	3	60	2674fc03c8b3e40977927c9ad52721001b4dc93e0bf9d4bda54603beafd99000	masks/glyph-000105-20x20-key-4CB5.bin
106	0x4ab998	0xc3bb	bbc300	2	20	20	3	60	ce6612da72a3b88cfeb4b977fe6504d09f8da1de7ca9a9282eeaac2da0a38637	masks/glyph-000106-20x20-key-C3BB.bin
107	0x4ab998	0xe6bb	bbe600	2	20	20	3	60	cd9163a8e7500db5133fe89bbc7847304705349a90e97cd585d62459783cb36e	masks/glyph-000107-20x20-key-E6BB.bin
