instruction_address	owner	symbol	record_index	field_offset	field_role	access	instruction
0x0045F8A1	sub_45F2A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	cmp dword_4B7DA0, ebp
0x0045F8AD	sub_45F2A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x0045F92B	sub_45F2A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x0045F94A	sub_45F2A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x0045F969	sub_45F2A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x0045F982	sub_45F2A0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x0045F9C6	sub_45F2A0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	write	mov dword_4B7CC0, ebx
0x0045F9CC	sub_45F2A0	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, esi
0x0045F9DC	sub_45F2A0	dword_4B7D70	12	0x00	rapid_press_multiplicity	read	cmp dword_4B7D70, ebp
0x0045F9E4	sub_45F2A0	dword_4B7D7C	12	0x0C	continuous_down_count	read	mov ecx, dword_4B7D7C
0x0045FA00	sub_45F2A0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	write	mov dword_4B7CC0, ebx
0x0045FA06	sub_45F2A0	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, esi
0x0045FA0E	sub_45F2A0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	read	cmp dword_4B7CC0, ebp
0x0045FA67	sub_45F2A0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	cmp dword_4B7DA0, ebp
0x0045FAA9	sub_45F2A0	dword_4B7CF0	4	0x00	rapid_press_multiplicity	read	cmp dword_4B7CF0, ebp
0x0045FAB1	sub_45F2A0	dword_4B7CFC	4	0x0C	continuous_down_count	read	mov eax, dword_4B7CFC
0x0045FAE3	sub_45F2A0	dword_4B7D10	6	0x00	rapid_press_multiplicity	read	cmp dword_4B7D10, ebp
0x0045FAEB	sub_45F2A0	dword_4B7D1C	6	0x0C	continuous_down_count	read	mov eax, dword_4B7D1C
0x0045FB21	sub_45F2A0	dword_4B7CE0	3	0x00	rapid_press_multiplicity	read	cmp dword_4B7CE0, ebp
0x0045FB29	sub_45F2A0	dword_4B7CEC	3	0x0C	continuous_down_count	read	mov eax, dword_4B7CEC
0x0045FB86	sub_45F2A0	dword_4B7D00	5	0x00	rapid_press_multiplicity	read	cmp dword_4B7D00, ebp
0x0045FB8E	sub_45F2A0	dword_4B7D0C	5	0x0C	continuous_down_count	read	mov eax, dword_4B7D0C
0x0045FBEC	sub_45F2A0	dword_4B7D20	7	0x00	rapid_press_multiplicity	read	cmp dword_4B7D20, ebp
0x0045FBF4	sub_45F2A0	dword_4B7D2C	7	0x0C	continuous_down_count	read	mov eax, dword_4B7D2C
0x0045FC0A	sub_45F2A0	dword_4B7D30	8	0x00	rapid_press_multiplicity	read	cmp dword_4B7D30, ebp
0x0045FC12	sub_45F2A0	dword_4B7D3C	8	0x0C	continuous_down_count	read	mov eax, dword_4B7D3C
0x0045FC28	sub_45F2A0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	read	cmp dword_4B7CB0, ebp
0x0045FC30	sub_45F2A0	dword_4B7CBC	0	0x0C	continuous_down_count	read	mov eax, dword_4B7CBC
0x004601B2	sub_45FC60	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov eax, dword_4B7DAC
0x004603A8	sub_45FC60	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov eax, dword_4B7DAC
0x00464DAA	sub_464DA0	dword_4B7CC0	1	0x00	rapid_press_multiplicity	write	mov dword_4B7CC0, ecx
0x00464DB0	sub_464DA0	dword_4B7CCC	1	0x0C	continuous_down_count	write	mov dword_4B7CCC, eax
0x00464DB5	sub_464DA0	dword_4B7DAC	15	0x0C	continuous_down_count	write	mov dword_4B7DAC, eax
0x00464DBA	sub_464DA0	dword_4B7D7C	12	0x0C	continuous_down_count	write	mov dword_4B7D7C, ecx
