caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_479850	0x0047B2BB	0x0047B2BA	97	ecx	eax	edx	ecx	edx	ebx					runtime/unresolved
sub_479850	0x0047B374	0x0047B373	49	ecx	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_479850	0x0047B3F0	0x0047B3EF	113	ecx	eax	edx	ecx	edx	ebx					runtime/unresolved
sub_479850	0x0047B4C0	0x0047B4BF	109	ecx	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_479850	0x0047B7E8	0x0047B7E7	101	edx	ecx	edx	ecx	edx	ebx					runtime/unresolved
sub_47BA80	0x0047BD45	0x0047BD44	78	eax	ecx	eax	edx	eax	ebx					runtime/unresolved
sub_47BA80	0x0047BDB4	0x0047BDB3	112	eax	ecx	eax	edx	eax	eax					runtime/unresolved
sub_47BA80	0x0047BE2C	0x0047BE2B	66	eax	edx	eax	edx	eax	ebx					runtime/unresolved
sub_47BA80	0x0047BF00	0x0047BEFF	39	esi	eax	edx	eax	eax	ebx					runtime/unresolved
sub_47BA80	0x0047BF30	0x0047BF2F	37	esi	edi	edx	ecx	ecx	ebx					runtime/unresolved
sub_47BA80	0x0047BF76	0x0047BF75	18	esi	edi	ecx	edx	ecx	ebx					runtime/unresolved
sub_47BA80	0x0047C013	0x0047C012	60	ecx	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_47BA80	0x0047C128	0x0047C127	46	edx	eax	edx	edx	edx	ebx					runtime/unresolved
sub_47C6B0	0x0047C8A8	0x0047C8A7	49	edx	eax	edx	ecx	edx	ecx					runtime/unresolved
sub_47C6B0	0x0047C919	0x0047C918	49	edx	eax	edx	ecx	edx	ecx					runtime/unresolved
sub_47C950	0x0047CB87	0x0047CB86	46	ecx	edx	edi	edi	edi	0					runtime/unresolved
sub_47C950	0x0047CBD8	0x0047CBD7	27	ecx	edx	edi	edi	edi	edi					runtime/unresolved
sub_47CC60	0x0047CD46	0x0047CD45	83	ecx	edx	eax	eax	eax	0					runtime/unresolved
sub_47E650	0x0047E71A	0x0047E719	50	edx	ecx	edx	eax	edx	0					runtime/unresolved
sub_47E650	0x0047E76E	0x0047E76D	60	edx	ecx	eax	edx	eax	0					runtime/unresolved
