caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_4512B0	0x0045140C	0x0045140B	21	ebx	edi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_451540	0x004515BE	0x004515BD	85	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_4515E0	0x004516C7	0x004516C6	72	ecx	eax	edx	ecx	edx	ebp					runtime/unresolved
sub_4527E0	0x00452A08	0x00452A01	23	0	0	280h	1E0h	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4527E0	0x00452B95	0x00452B7F	48	esi	edx	280h	1E0h	20h	0	0x00000020	0x0020	0x20	0	source header selects RLE/span or raw/+0x80
sub_453580	0x004535E8	0x004535E7	12	edi	edi	edx	ecx	edi	edi					runtime/unresolved
sub_453580	0x0045366A	0x00453664	25	edi	edi	edx	ecx	28h	edi	0x00000028	0x0028	0x28	0	source header selects RLE/span or raw/+0x80
sub_453580	0x004536B3	0x004536AC	25	edi	edi	eax	edx	28h	edi	0x00000028	0x0028	0x28	0	source header selects RLE/span or raw/+0x80
sub_453580	0x004536FE	0x004536FD	12	edi	edi	edx	ecx	edi	edi					runtime/unresolved
sub_453580	0x0045386B	0x0045386A	12	edi	edi	edx	ecx	edi	edi					runtime/unresolved
sub_453580	0x0045395D	0x0045395C	12	edi	edi	edx	ecx	edi	edi					runtime/unresolved
sub_4582B0	0x004588A9	0x004588A8	30	edx	ecx	eax	edx	ecx	eax					runtime/unresolved
sub_4582B0	0x00458A68	0x00458A67	23	eax	edx	ecx	eax	eax	ebp					runtime/unresolved
sub_458DE0	0x00459112	0x00459111	19	edx	ecx	eax	edx	ecx	0					runtime/unresolved
sub_458DE0	0x0045924D	0x0045924C	23	eax	edx	ecx	eax	eax	ebp					runtime/unresolved
sub_4599B0	0x00459B91	0x00459B90	22	ecx	eax	edx	ecx	ebx	eax					runtime/unresolved
sub_459BF0	0x00459CD9	0x00459CD8	38	eax	edx	ecx	edx	ecx	edx					runtime/unresolved
sub_45AF90	0x0045B008	0x0045B000	24	0	0	280h	1E0h	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_46F8C0	0x0046FDAC	0x0046FDAB	32	ecx	eax	edx	ecx	edx	ecx					runtime/unresolved
sub_46F8C0	0x0046FEE0	0x0046FEDF	32	ecx	eax	edx	ecx	edx	ebx					runtime/unresolved
sub_471540	0x0047177F	0x0047177E	43	ecx	eax	edx	ecx	edx	ecx					runtime/unresolved
sub_4717F0	0x00471A58	0x00471A57	30	eax	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_4717F0	0x00471AB4	0x00471AB3	94	eax	edx	ecx	edx	eax	edx					runtime/unresolved
sub_471AD0	0x00471CEA	0x00471CE9	32	ecx	eax	edx	ecx	edx	ebp					runtime/unresolved
sub_471AD0	0x00471D45	0x00471D44	93	ecx	eax	edx	ecx	ecx	eax					runtime/unresolved
sub_471D60	0x00471F40	0x00471F3F	65	eax	edx	ecx	edx	ecx	ebp					runtime/unresolved
sub_471FC0	0x0047217B	0x0047217A	25	eax	ecx	edx	edx	edx	0					runtime/unresolved
sub_471FC0	0x004721D0	0x004721CF	33	ecx	eax	edx	edx	edx	0					runtime/unresolved
sub_4721F0	0x004723E3	0x004723E2	58	edx	ecx	eax	edx	eax	0					runtime/unresolved
sub_4721F0	0x00472407	0x00472406	19	edi	ebp	ecx	edx	ecx	0					runtime/unresolved
sub_4724D0	0x00472676	0x00472675	61	ecx	eax	edx	eax	eax	ebp					runtime/unresolved
