address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x004352C0	sub_4352C0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:2_sites	0x004351F0:1;0x00435240:1		rendering		mechanical_candidate_not_manually_reviewed
0x004352E0	sub_4352E0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:2_sites	0x004368D0:1	0x00437C00:1	rendering		mechanical_candidate_not_manually_reviewed
0x004353C0	sub_4353C0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:6_sites	0x00435160:1;0x00435500:1	0x00435240:1;0x00435410:1;0x00435650:1;0x00487C10:1	rendering		mechanical_candidate_not_manually_reviewed
0x00435410	sub_435410	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x004351F0:1;0x004353C0:1	0x004885A0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00435430	sub_435430	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x00435500:1	0x004354D0:1;0x00487C10:1	rendering		mechanical_candidate_not_manually_reviewed
0x004354D0	sub_4354D0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x004351F0:1;0x00435430:1	0x004885A0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00435500	sub_435500	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:4_sites	0x0040F340:1;0x00435160:1	0x004353C0:1;0x00435430:1	rendering		mechanical_candidate_not_manually_reviewed
0x004355B0	sub_4355B0	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:8_sites;manual_a2_cross_module_boundary_review	0x0040F340:1;0x0042ED40:2;0x004350E0:1;0x00435160:1	0x00435620:1;0x00487C10:1;0x004885A0:1	rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00435620	sub_435620	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:11_sites;manual_a2_cross_module_boundary_review	0x004355B0:1;0x004442B0:2;0x00447100:6;0x0044EA60:2		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00435650	sub_435650	ida_export_catalog	game	rendering	confirmed_boundary	manual_top_level_seed;manual_a2_cross_module_boundary_review	0x0040A570:6;0x0040F340:1;0x00435160:1;0x004353C0:1;0x00451B10:1;0x00464270:1;0x004655B0:1;0x004659C0:1;0x00465E50:1;0x00466190:1;0x00466500:1;0x004667B0:2;0x00466950:2;0x00468ED0:2;0x00469080:2;0x00469220:2		rendering	top_level_direct;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00435660	sub_435660	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00408D70:2;0x0040F340:1;0x00413FE0:1;0x004153D0:2;0x0042ED40:1;0x00430350:2;0x004306C0:1;0x004350E0:1;0x00435160:1;0x0043A2A0:3;0x00441680:1;0x00447100:1;0x00459D10:1;0x0045DEE0:2;0x00464270:1;0x004651D0:6;0x00465480:2;0x004655B0:3;0x004659C0:6;0x00465E50:4;0x00466190:4;0x00466500:3;0x00466C00:9		rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00435670	sub_435670	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x0040F340:1;0x00413FE0:1;0x004153D0:2;0x0042ED40:2;0x00430350:2;0x004306C0:1;0x00435160:1;0x0043A2A0:3;0x00459D10:1;0x0045DEE0:2;0x00464270:1;0x004651D0:1;0x004655B0:1;0x004659C0:1;0x00465E50:1;0x00466190:1;0x00466500:1;0x00466C00:1		rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
