archive	group_index	file_size_bytes	index_entry_count	index_start_hex	index_end_hex	nonempty_entries	variant_slots	nonempty_variants	action_stream_bytes	recognized_command_occurrences	zero_default_word_occurrences	other_default_word_occurrences	reserved_nonzero_entries	stored_id_mismatch_entries	reprocessed_second_parameter_occurrences	reprocessed_recognized_command_collisions
all_char.act	0	624528	414	0000001C	00004744	233	15313	3445	232340	61868	5030	52	0	0	7989	0
all_item.act	1	272250	479	0000001C	00005270	365	25185	366	7824	1830	984	0	0	0	0	0
all_magic.act	2	272602	498	0000001C	000055B4	120	215	144	65392	23022	168	0	0	1	545	0
all_sys.act	3	152314	73	0000001C	00000CA8	14	270	200	9364	2499	290	0	0	0	368	0
all_map1.act	4	138528	6	0000001C	00000124	6	190	144	5728	1413	184	0	0	0	307	0
all_map2.act	5	133270	30	0000001C	00000544	27	27	27	1080	314	41	0	0	0	0	0
