call_address	caller	six_push_addresses_oldest_to_newest	destination_operand	x_operand	y_operand	string_operand	color_operand	style_operand	static_style_value	selected_style	foreground_row_delta	intervening_call_count
0x0044F645	sub_44EA60	0x0044F632,0x0044F634,0x0044F635,0x0044F63A,0x0044F63F,0x0044F644	edx	0FAh	186h	offset FileName	ebp	4	0x4	0x04	0	0
0x0044F676	sub_44EA60	0x0044F663,0x0044F665,0x0044F666,0x0044F66B,0x0044F670,0x0044F675	eax	0FAh	1A9h	offset FileName	ebp	4	0x4	0x04	0	0
0x0044F730	sub_44EA60	0x0044F71D,0x0044F71F,0x0044F720,0x0044F725,0x0044F72A,0x0044F72F	edx	0FAh	18Ah	offset FileName	ebp	4	0x4	0x04	0	0
0x0044FDB0	sub_44FD30	0x0044FD98,0x0044FD9D,0x0044FD9E,0x0044FDA3,0x0044FDA8,0x0044FDAA	edx	44h	ebp	offset byte_4A74C4	edi	4	0x4	0x04	0	0
0x0044FE2C	sub_44FD30	0x0044FE1B,0x0044FE1D,0x0044FE1E,0x0044FE23,0x0044FE24,0x0044FE26	edx	58h	ebp	offset CmdLine	ecx	4	0x4	0x04	0	0
0x0044FE4A	sub_44FD30	0x0044FE39,0x0044FE3B,0x0044FE3C,0x0044FE41,0x0044FE42,0x0044FE44	eax	44h	ebx	offset byte_4A74B0	edi	4	0x4	0x04	0	0
0x0044FEC4	sub_44FD30	0x0044FEB3,0x0044FEB5,0x0044FEB6,0x0044FEBB,0x0044FEBC,0x0044FEBE	edx	58h	ebx	offset CmdLine	ecx	4	0x4	0x04	0	0
0x0044FEE5	sub_44FD30	0x0044FECC,0x0044FED1,0x0044FED2,0x0044FED7,0x0044FEDD,0x0044FEDF	eax	44h	eax	offset byte_4A74AC	edi	4	0x4	0x04	0	0
0x0044FF62	sub_44FD30	0x0044FF4E,0x0044FF50,0x0044FF54,0x0044FF59,0x0044FF5A,0x0044FF5C	edx	58h	eax	offset CmdLine	ecx	4	0x4	0x04	0	0
0x00459FC8	sub_459D10	0x00459FAE,0x00459FB6,0x00459FBB,0x00459FBC,0x00459FC1,0x00459FC2	eax	edi	18Ah	edx	0F000h	10h	0x10	0x10	0	0
0x0045A014	sub_459D10	0x00459FE0,0x00459FE5,0x0045A00C,0x0045A00D,0x0045A012,0x0045A013	eax	edi	18Ah	edx	0FFFFh	10h	0x10	0x10	0	0
0x0045A07D	sub_459D10	0x0045A052,0x0045A06B,0x0045A070,0x0045A071,0x0045A076,0x0045A077	edx	edi	18Ah	ecx	0F3F0h	eax		runtime	runtime	0
0x0045A0AD	sub_459D10	0x0045A076,0x0045A077,0x0045A0A0,0x0045A0A1,0x0045A0A6,0x0045A0A7	ecx	edi	18Ah	eax	edx	edi		runtime	runtime	1
0x0045DFA1	sub_45DEE0	0x0045DF91,0x0045DF93,0x0045DF98,0x0045DF9D,0x0045DF9E,0x0045DFA0	edx	0Ah	ebp	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E019	sub_45DEE0	0x0045E006,0x0045E008,0x0045E00D,0x0045E012,0x0045E013,0x0045E018	eax	208h	ebx	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E05A	sub_45DEE0	0x0045E03E,0x0045E040,0x0045E04C,0x0045E051,0x0045E052,0x0045E054	eax	0Ah	edx	offset byte_4A790C	0FFFFh	10h	0x10	0x10	0	0
0x0045E0B8	sub_45DEE0	0x0045E09D,0x0045E09F,0x0045E0AB,0x0045E0B0,0x0045E0B1,0x0045E0B2	edx	ebx	ecx	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E0FA	sub_45DEE0	0x0045E0DE,0x0045E0E0,0x0045E0EC,0x0045E0F1,0x0045E0F2,0x0045E0F4	ecx	0Ah	eax	offset byte_4A78FC	0FFFFh	10h	0x10	0x10	0	0
0x0045E150	sub_45DEE0	0x0045E135,0x0045E137,0x0045E143,0x0045E148,0x0045E149,0x0045E14A	edx	ebx	ecx	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E18F	sub_45DEE0	0x0045E170,0x0045E172,0x0045E17A,0x0045E186,0x0045E187,0x0045E189	edx	0Ah	ecx	offset byte_4A78F0	0FFFFh	10h	0x10	0x10	0	0
0x0045E1ED	sub_45DEE0	0x0045E1D2,0x0045E1D4,0x0045E1E0,0x0045E1E5,0x0045E1E6,0x0045E1E7	edx	ebx	ecx	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E245	sub_45DEE0	0x0045E22C,0x0045E22E,0x0045E233,0x0045E238,0x0045E23A,0x0045E23F	ecx	0F0h	46h	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E333	sub_45DEE0	0x0045E31F,0x0045E321,0x0045E326,0x0045E32B,0x0045E32D,0x0045E332	eax	0F0h	1Eh	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E373	sub_45DEE0	0x0045E35F,0x0045E361,0x0045E366,0x0045E36B,0x0045E36D,0x0045E372	eax	0F0h	32h	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E3C8	sub_45DEE0	0x0045E3AF,0x0045E3B1,0x0045E3B6,0x0045E3BB,0x0045E3BD,0x0045E3C2	ecx	0F0h	5Ah	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E40F	sub_45DEE0	0x0045E3FB,0x0045E3FD,0x0045E402,0x0045E407,0x0045E409,0x0045E40E	edx	0F0h	6Eh	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E448	sub_45DEE0	0x0045E42F,0x0045E431,0x0045E436,0x0045E43B,0x0045E43D,0x0045E442	ecx	1A4h	1Eh	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E493	sub_45DEE0	0x0045E47A,0x0045E47C,0x0045E481,0x0045E486,0x0045E488,0x0045E48D	ecx	1A4h	32h	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E4D6	sub_45DEE0	0x0045E4BD,0x0045E4BF,0x0045E4C4,0x0045E4C9,0x0045E4CB,0x0045E4D0	ecx	1A4h	46h	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E50F	sub_45DEE0	0x0045E4FB,0x0045E4FD,0x0045E502,0x0045E507,0x0045E509,0x0045E50E	eax	1C2h	5Ah	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x0045E54F	sub_45DEE0	0x0045E536,0x0045E538,0x0045E53D,0x0045E542,0x0045E544,0x0045E549	ecx	0F0h	0Ah	offset byte_53BE00	0FFFFh	10h	0x10	0x10	0	0
0x00464597	sub_464270	0x00464563,0x0046456D,0x00464572,0x0046457E,0x00464590,0x00464591	ecx	eax	edx	ecx	0FFC0h	10h	0x10	0x10	0	0
0x004652CA	sub_4651D0	0x004652A5,0x004652B2,0x004652BC,0x004652C2,0x004652C3,0x004652C4	ecx	eax	edi	edx	ecx	4	0x4	0x04	0	0
0x0046531B	sub_4651D0	0x004652F0,0x004652F2,0x00465302,0x0046530C,0x00465314,0x00465315	ecx	eax	edi	ecx	eax	10h	0x10	0x10	0	0
0x004653E6	sub_4651D0	0x004653CA,0x004653CC,0x004653D3,0x004653D7,0x004653D8,0x004653E0	ecx	eax	edi	edx	ecx	4	0x4	0x04	0	0
0x0046542E	sub_4651D0	0x00465416,0x00465418,0x0046541C,0x00465426,0x00465427,0x00465428	edx	ecx	eax	edx	ecx	10h	0x10	0x10	0	0
0x004657C7	sub_4655B0	0x004657A5,0x004657A7,0x004657AB,0x004657BF,0x004657C0,0x004657C1	edx	ecx	ebx	offset dword_53C184	eax	10h	0x10	0x10	0	0
0x00465830	sub_4655B0	0x0046580C,0x0046581A,0x00465821,0x00465828,0x00465829,0x0046582A	ecx	eax	ebx	edx	ecx	eax		runtime	runtime	0
0x0046588D	sub_4655B0	0x00465869,0x00465876,0x0046587D,0x00465885,0x00465886,0x00465887	ecx	eax	edx	offset dword_53C184	ecx	eax		runtime	runtime	0
0x0046592C	sub_4655B0	0x00465906,0x00465914,0x0046591B,0x00465920,0x00465925,0x00465926	edx	eax	168h	offset byte_4FC2A0	0FFFFh	10h	0x10	0x10	0	0
0x00465C50	sub_4659C0	0x00465C2A,0x00465C33,0x00465C3A,0x00465C42,0x00465C49,0x00465C4A	ecx	eax	eax	edx	ecx	10h	0x10	0x10	0	0
0x00465C93	sub_4659C0	0x00465C6D,0x00465C76,0x00465C7D,0x00465C85,0x00465C8C,0x00465C8D	ecx	eax	eax	edx	ecx	10h	0x10	0x10	0	0
0x00465CBB	sub_4659C0	0x00465C9F,0x00465CA5,0x00465CAC,0x00465CB3,0x00465CB4,0x00465CB5	edx	ecx	eax	eax	edx	10h	0x10	0x10	0	0
0x00465D19	sub_4659C0	0x00465CF5,0x00465D03,0x00465D0D,0x00465D11,0x00465D12,0x00465D13	edx	ecx	edi	eax	edx	ecx		runtime	runtime	0
0x00465DDD	sub_4659C0	0x00465DB7,0x00465DC5,0x00465DCC,0x00465DD1,0x00465DD6,0x00465DD7	edx	eax	168h	offset byte_4FC2A0	0FFFFh	10h	0x10	0x10	0	0
0x00465F67	sub_465E50	0x00465F53,0x00465F55,0x00465F5A,0x00465F5F,0x00465F60,0x00465F61	ecx	eax	esi	offset byte_4A76A0	0FFC0h	10h	0x10	0x10	0	0
0x0046606A	sub_465E50	0x00466048,0x00466051,0x00466058,0x0046605F,0x00466063,0x00466064	ecx	eax	eax	edx	ecx	10h	0x10	0x10	0	0
0x004660AE	sub_465E50	0x00466096,0x00466098,0x0046609F,0x004660A0,0x004660A7,0x004660A8	ecx	eax	eax	edx	ecx	10h	0x10	0x10	0	0
0x004660DF	sub_465E50	0x004660C4,0x004660CA,0x004660D3,0x004660D7,0x004660D8,0x004660D9	eax	edx	ebp	ecx	eax	10h	0x10	0x10	0	0
0x0046628C	sub_466190	0x00466278,0x0046627A,0x0046627F,0x00466284,0x00466285,0x00466286	ecx	eax	ebx	offset byte_4A7688	0FFC0h	10h	0x10	0x10	0	0
0x0046643F	sub_466190	0x00466433,0x00466435,0x00466436,0x00466437,0x00466438,0x00466439	edx	edi	esi	ecx	eax	10h	0x10	0x10	0	0
0x0046649C	sub_466190	0x0046648C,0x00466492,0x00466493,0x00466494,0x00466495,0x00466496	eax	edi	esi	edx	ecx	10h	0x10	0x10	0	0
0x004665C6	sub_466500	0x004665B2,0x004665B4,0x004665B9,0x004665BE,0x004665BF,0x004665C0	ecx	eax	edi	offset byte_4A7648	0FFC0h	10h	0x10	0x10	0	0
0x004666D4	sub_466500	0x004666B0,0x004666B2,0x004666BB,0x004666CC,0x004666CD,0x004666CE	eax	edx	ecx	offset dword_53C184	eax	10h	0x10	0x10	0	0
0x00466705	sub_466500	0x004666E9,0x004666EB,0x004666F5,0x004666FD,0x004666FE,0x004666FF	ecx	eax	edx	offset dword_53C184	ecx	10h	0x10	0x10	0	0
0x0046683B	sub_4667B0	0x0046681F,0x00466821,0x00466826,0x0046682B,0x00466830,0x00466835	ecx	0FCh	0B4h	offset byte_4A79D0	0FFC0h	10h	0x10	0x10	0	0
0x00466905	sub_4667B0	0x004668DB,0x004668DD,0x004668E2,0x004668FD,0x004668FE,0x004668FF	ecx	ebx	eax	eax	0FFFFh	10h	0x10	0x10	0	0
0x0046693A	sub_4667B0	0x00466920,0x00466922,0x0046692A,0x00466932,0x00466933,0x00466934	edx	ebp	edi	offset byte_49F9FC	0FFFFh	10h	0x10	0x10	0	0
0x00466A99	sub_466950	0x00466A86,0x00466A88,0x00466A8D,0x00466A91,0x00466A92,0x00466A93	eax	edx	edi	ebp	0FFFFh	10h	0x10	0x10	0	0
0x00466B72	sub_466950	0x00466B53,0x00466B54,0x00466B5E,0x00466B6A,0x00466B6B,0x00466B6C	eax	edx	ecx	eax	edx	ecx		runtime	runtime	0
0x00466C4D	sub_466C00	0x00466C39,0x00466C3B,0x00466C40,0x00466C45,0x00466C46,0x00466C47	edx	esi	ecx	offset byte_4A76B0	0FFFFh	10h	0x10	0x10	0	0
0x00466CA2	sub_466C00	0x00466C8E,0x00466C90,0x00466C95,0x00466C9A,0x00466C9B,0x00466C9C	edx	esi	ebp	offset byte_4A6BD8	0FFFFh	10h	0x10	0x10	0	0
0x00466CDC	sub_466C00	0x00466CC8,0x00466CCA,0x00466CCF,0x00466CD4,0x00466CD5,0x00466CD6	eax	esi	ebp	offset byte_4A6BD8	0FFFFh	10h	0x10	0x10	0	0
0x00466D6D	sub_466C00	0x00466D59,0x00466D5B,0x00466D60,0x00466D65,0x00466D66,0x00466D67	edx	esi	ebp	offset byte_53C16C	0FFFFh	10h	0x10	0x10	0	0
0x00466DB4	sub_466C00	0x00466DA0,0x00466DA2,0x00466DA7,0x00466DAC,0x00466DAD,0x00466DAE	ecx	esi	ebp	offset byte_53C16C	0FFFFh	10h	0x10	0x10	0	0
0x00466E87	sub_466C00	0x00466E73,0x00466E75,0x00466E7A,0x00466E7F,0x00466E80,0x00466E81	eax	esi	ebp	offset byte_53C16C	0FFFFh	10h	0x10	0x10	0	0
0x00466ED1	sub_466C00	0x00466EBD,0x00466EBF,0x00466EC4,0x00466EC9,0x00466ECA,0x00466ECB	edx	esi	ebp	offset byte_53C16C	0FFFFh	10h	0x10	0x10	0	0
0x00466F1C	sub_466C00	0x00466F05,0x00466F07,0x00466F0C,0x00466F19,0x00466F1A,0x00466F1B	edx	esi	edi	offset byte_4A79E8	0FFFFh	10h	0x10	0x10	0	0
0x00466F52	sub_466C00	0x00466F3E,0x00466F40,0x00466F45,0x00466F4A,0x00466F4B,0x00466F4C	eax	esi	edi	offset byte_4A79E8	0FFFFh	10h	0x10	0x10	0	0
0x004677BA	sub_467710	0x004677A3,0x004677A5,0x004677AA,0x004677AF,0x004677B4,0x004677B9	eax	0F8h	0B4h	offset byte_4A7A2C	0FFC0h	10h	0x10	0x10	0	0
0x00467A2D	sub_467710	0x00467A15,0x00467A17,0x00467A1C,0x00467A1D,0x00467A22,0x00467A27	edx	0D0h	0DCh	ecx	0FFC0h	10h	0x10	0x10	0	0
0x00467A6E	sub_467710	0x00467A5B,0x00467A5D,0x00467A62,0x00467A63,0x00467A68,0x00467A6D	eax	0D0h	0F0h	edx	0FFC0h	10h	0x10	0x10	0	0
0x00467AAE	sub_467710	0x00467A96,0x00467A98,0x00467A9D,0x00467A9E,0x00467AA3,0x00467AA8	ecx	0D0h	104h	eax	0FFC0h	10h	0x10	0x10	0	0
0x00467B84	sub_467AC0	0x00467B6D,0x00467B6F,0x00467B74,0x00467B79,0x00467B7E,0x00467B83	eax	108h	0B4h	offset byte_4A7A44	0FFC0h	10h	0x10	0x10	0	0
0x00467C39	sub_467AC0	0x00467C21,0x00467C23,0x00467C28,0x00467C29,0x00467C2E,0x00467C33	edx	0D0h	0DCh	ecx	0FFC0h	10h	0x10	0x10	0	0
0x00467FBF	sub_467F00	0x00467FA4,0x00467FAC,0x00467FB1,0x00467FB2,0x00467FB4,0x00467FB9	edx	118h	50h	ecx	0FFC0h	10h	0x10	0x10	0	0
0x00468042	sub_467F00	0x0046802D,0x0046802F,0x00468034,0x00468035,0x00468037,0x0046803C	edx	0D8h	78h	ecx	0FFFFh	10h	0x10	0x10	0	0
0x0046807F	sub_467F00	0x0046806C,0x0046806E,0x00468073,0x00468074,0x00468079,0x0046807E	eax	0D8h	8Ch	edx	0FFFFh	10h	0x10	0x10	0	0
0x004680BD	sub_467F00	0x004680A5,0x004680A7,0x004680AC,0x004680AD,0x004680B2,0x004680B7	ecx	0D8h	0A0h	eax	0FFFFh	10h	0x10	0x10	0	0
0x00468100	sub_467F00	0x004680E8,0x004680EA,0x004680EF,0x004680F0,0x004680F5,0x004680FA	edx	0D8h	0B4h	ecx	0FFFFh	10h	0x10	0x10	0	0
0x0046813E	sub_467F00	0x00468121,0x00468123,0x0046812D,0x0046812E,0x00468133,0x00468138	eax	0D8h	0C8h	edx	0FFFFh	10h	0x10	0x10	0	0
0x00468181	sub_467F00	0x00468169,0x0046816B,0x00468170,0x00468171,0x00468176,0x0046817B	ecx	0D8h	0DCh	eax	0FFFFh	10h	0x10	0x10	0	0
0x004681C1	sub_467F00	0x004681A9,0x004681AB,0x004681B0,0x004681B1,0x004681B6,0x004681BB	edx	0D8h	0F0h	ecx	0FFFFh	10h	0x10	0x10	0	0
0x0046833A	sub_467F00	0x00468321,0x00468323,0x00468328,0x0046832D,0x0046832F,0x00468334	eax	136h	78h	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x00468396	sub_467F00	0x00468381,0x00468383,0x00468388,0x00468389,0x0046838B,0x00468390	ecx	158h	78h	eax	0F000h	10h	0x10	0x10	0	0
0x00468417	sub_467F00	0x004683FB,0x004683FD,0x00468402,0x00468407,0x0046840C,0x00468411	eax	136h	8Ch	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x00468476	sub_467F00	0x0046845E,0x00468460,0x00468465,0x00468466,0x0046846B,0x00468470	ecx	158h	8Ch	eax	0F000h	10h	0x10	0x10	0	0
0x00468500	sub_467F00	0x004684E4,0x004684E6,0x004684EB,0x004684F0,0x004684F5,0x004684FA	eax	136h	0A0h	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x0046855F	sub_467F00	0x00468547,0x00468549,0x0046854E,0x0046854F,0x00468554,0x00468559	ecx	158h	0A0h	eax	0F000h	10h	0x10	0x10	0	0
0x004685E9	sub_467F00	0x004685CD,0x004685CF,0x004685D4,0x004685D9,0x004685DE,0x004685E3	eax	136h	0B4h	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x0046864F	sub_467F00	0x00468637,0x00468639,0x0046863E,0x0046863F,0x00468644,0x00468649	ecx	158h	0B4h	eax	0F000h	10h	0x10	0x10	0	0
0x004686C5	sub_467F00	0x004686A9,0x004686AB,0x004686B0,0x004686B5,0x004686BA,0x004686BF	eax	136h	0C8h	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x00468728	sub_467F00	0x00468710,0x00468712,0x00468717,0x00468718,0x0046871D,0x00468722	ecx	158h	0C8h	eax	0F000h	10h	0x10	0x10	0	0
0x004687A7	sub_467F00	0x0046878B,0x0046878D,0x00468792,0x00468797,0x0046879C,0x004687A1	eax	136h	0DCh	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
0x0046880D	sub_467F00	0x004687F5,0x004687F7,0x004687FC,0x004687FD,0x00468802,0x00468807	ecx	158h	0DCh	eax	0F000h	10h	0x10	0x10	0	0
0x0046888C	sub_467F00	0x00468870,0x00468872,0x00468877,0x0046887C,0x00468881,0x00468886	eax	136h	0F0h	offset asc_4A7A50	0FFFFh	10h	0x10	0x10	0	0
