call_address	caller	six_push_addresses_oldest_to_newest	destination_operand	x_operand	y_operand	string_operand	color_operand	style_operand	static_style_value	selected_style	foreground_row_delta	intervening_call_count
0x00469482	sub_469340	0x0046946F,0x00469471,0x00469476,0x00469477,0x0046947C,0x00469481	eax	0D0h	0DEh	edx	0FFC0h	10h	0x10	0x10	0	0
0x004694A6	sub_469340	0x0046947C,0x00469481,0x00469491,0x00469496,0x0046949B,0x004694A0	ecx	100h	0B4h	offset byte_4A7B24	eax	0D0h	0xD0	0x10	+1	1
0x004694CD	sub_469340	0x004694B1,0x004694B3,0x004694B8,0x004694BD,0x004694C2,0x004694C7	edx	0D0h	0DEh	offset byte_4A7B14	0FFC0h	10h	0x10	0x10	0	0
0x004695ED	sub_469550	0x004695DA,0x004695DC,0x004695E1,0x004695E5,0x004695E6,0x004695E7	ecx	esi	ebx	eax	0FFC0h	10h	0x10	0x10	0	0
0x00469610	sub_469550	0x004695FB,0x004695FD,0x00469602,0x00469603,0x00469604,0x0046960F	eax	eax	ecx	edx	0FFC0h	10h	0x10	0x10	0	0
0x004696FF	sub_469650	0x004696EA,0x004696EC,0x004696F1,0x004696F2,0x004696F4,0x004696F9	edx	130h	5Ah	ecx	0FFC0h	10h	0x10	0x10	0	0
0x00469893	sub_469650	0x0046986C,0x0046987D,0x00469886,0x00469887,0x00469888,0x0046988D	edx	0FCh	ecx	eax	eax	1Fh	0x1F	0x01	0	1
0x00469B54	sub_469960	0x00469B44,0x00469B46,0x00469B4B,0x00469B4C,0x00469B4D,0x00469B4E	ecx	edi	ebp	eax	0FFFFh	10h	0x10	0x10	0	0
0x00469BE7	sub_469960	0x00469BD6,0x00469BD8,0x00469BDD,0x00469BDE,0x00469BE0,0x00469BE1	ecx	edi	10h	eax	0FFFFh	10h	0x10	0x10	0	0
0x00469C5B	sub_469960	0x00469C4A,0x00469C4C,0x00469C51,0x00469C52,0x00469C54,0x00469C55	ecx	edi	10h	eax	0FFFFh	10h	0x10	0x10	0	0
0x00469CE0	sub_469960	0x00469CD0,0x00469CD2,0x00469CD7,0x00469CD8,0x00469CD9,0x00469CDA	ecx	edi	ebp	eax	0FFFFh	10h	0x10	0x10	0	0
